****************************************
*样品库训练集，神经网络自动分类输出结果*
****************************************
序号   已知样品    验证结果
0	0           1
1	1           0
2	2           2
3	3           4
4	4           4
5	5           3
6	6           6
7	7           7
8	8           8
9	9           9
10	0           0
11	1           1
12	2           2
13	3           3
14	4           4
15	5           5
16	6           6
17	7           7
18	8           8
19	9           9
20	0           0
21	1           1
22	2           2
23	3           3
24	4           4
25	5           8
26	6           6
27	7           7
28	8           8
29	9           9
30	0           0
31	1           1
32	2           2
33	3           3
34	4           4
35	5           6
36	6           6
37	7           7
38	8           7
39	9           9
40	0           0
41	1           1
42	2           2
43	3           3
44	4           5
45	5           5
46	6           6
47	7           7
48	8           8
49	9           9
50	0           0
51	1           1
52	2           2
53	3           3
54	4           4
55	5           5
56	6           6
57	7           7
58	8           8
59	9           9
60	0           0
61	1           1
62	2           2
63	3           3
64	4           4
65	5           5
66	6           6
67	7           7
68	8           8
69	9           9
70	0           0
71	1           2
72	2           2
73	3           6
74	4           4
75	5           5
76	6           6
77	7           7
78	8           8
79	9           9
80	0           0
81	1           1
82	2           2
83	3           4
84	4           4
85	5           5
86	6           6
87	7           7
88	8           8
89	9           9
90	0           0
91	1           1
92	2           2
93	3           3
94	4           4
95	5           5
96	6           6
97	7           7
98	8           8
99	9           9
100	0           0
101	1           1
102	2           2
103	3           4
104	4           4
105	5           5
106	6           6
107	7           7
108	8           8
109	9           9
110	0           0
111	1           1
112	2           2
113	3           2
114	4           4
115	5           5
116	6           6
117	7           7
118	8           8
119	9           9
120	0           0
121	1           1
122	2           2
123	3           3
124	4           4
125	5           2
126	6           6
127	7           7
128	8           8
129	9           9
130	0           0
131	1           1
132	2           2
133	3           3
134	4           5
135	5           5
136	6           6
137	7           7
138	8           8
139	9           9
140	0           0
141	1           1
142	2           2
143	3           3
144	4           4
145	5           3
146	6           6
147	7           7
148	8           8
149	9           9
150	0           0
151	1           1
152	2           2
153	3           3
154	4           4
155	5           5
156	6           6
157	7           7
158	8           8
159	9           9
160	0           0
161	1           1
162	2           2
163	3           3
164	4           4
165	5           3
166	6           6
167	7           7
168	8           8
169	9           9
170	0           0
171	1           1
172	2           2
173	3           3
174	4           4
175	5           3
176	6           6
177	7           7
178	8           8
179	9           9
180	0           0
181	1           1
182	2           2
183	3           3
184	4           4
185	5           5
186	6           6
187	7           7
188	8           8
189	9           9
190	0           0
191	1           1
192	2           2
193	3           3
194	4           4
195	5           5
196	6           6
197	7           7
198	8           8
199	9           9
200	0           0
201	1           1
202	2           2
203	3           3
204	4           4
205	5           5
206	6           6
207	7           7
208	8           8
209	9           8
210	0           0
211	1           1
212	2           2
213	3           3
214	4           4
215	5           5
216	6           6
217	7           7
218	8           8
219	9           9
220	0           0
221	1           1
222	2           2
223	3           3
224	4           4
225	5           5
226	6           6
227	7           7
228	8           8
229	9           9
230	0           0
231	1           1
232	2           2
233	3           3
234	4           4
235	5           2
236	6           6
237	7           7
238	8           8
239	9           9
240	0           0
241	1           1
242	2           2
243	3           3
244	4           4
245	5           5
246	6           6
247	7           7
248	8           8
249	9           9
250	0           1
251	1           1
252	2           2
253	3           3
254	4           4
255	5           5
256	6           6
257	7           7
258	8           8
259	9           9
260	0           0
261	1           1
262	2           2
263	3           3
264	4           4
265	5           5
266	6           6
267	7           7
268	8           8
269	9           9
270	0           0
271	1           1
272	2           2
273	3           3
274	4           4
275	5           3
276	6           6
277	7           7
278	8           7
279	9           9
280	0           0
281	1           1
282	2           2
283	3           3
284	4           4
285	5           5
286	6           6
287	7           7
288	8           8
289	9           9
290	0           0
291	1           1
292	2           2
293	3           3
294	4           4
295	5           5
296	6           6
297	7           7
298	8           8
299	9           9
300	0           0
301	1           9
302	2           2
303	3           7
304	4           4
305	5           8
306	6           6
307	7           7
308	8           8
309	9           9
310	0           1
311	1           1
312	2           0
313	3           3
314	4           4
315	5           5
316	6           6
317	7           7
318	8           8
319	9           9
320	0           0
321	1           1
322	2           2
323	3           6
324	4           4
325	5           3
326	6           6
327	7           7
328	8           8
329	9           9
330	0           0
331	1           1
332	2           2
333	3           3
334	4           4
335	5           4
336	6           6
337	7           7
338	8           8
339	9           9
340	0           1
341	1           1
342	2           2
343	3           3
344	4           4
345	5           5
346	6           6
347	7           7
348	8           7
349	9           9
350	0           0
351	1           2
352	2           2
353	3           3
354	4           4
355	5           3
356	6           6
357	7           7
358	8           8
359	9           9
360	0           1
361	1           1
362	2           2
363	3           8
364	4           4
365	5           2
366	6           6
367	7           7
368	8           8
369	9           9
370	0           3
371	1           0
372	2           2
373	3           5
374	4           4
375	5           2
376	6           6
377	7           10
378	8           8
379	9           9
380	0           0
381	1           1
382	2           2
383	3           5
384	4           4
385	5           2
386	6           6
387	7           7
388	8           8
389	9           9
390	0           0
391	1           1
392	2           2
393	3           5
394	4           4
395	5           3
